,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
757,Dell,Latitude 5480,Notebook,14,1366x768,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.6kg,1126.71
763,Asus,Pro P2540UA-XO0192R,Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,4GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.37kg,849.9
768,Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.1kg,599
770,Dell,Latitude 7280,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,16GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.18kg,1859
772,Asus,Zenbook UX330UA-AH5Q,Ultrabook,13.3,IPS Panel Quad HD+ 3200x1800,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.2kg,1129
777,Samsung,Notebook 9,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.31kg,1599
786,Acer,Swift 3,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.8kg,636
793,Lenovo,ThinkPad T470s,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.7kg,2299
801,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.37kg,1970
804,Lenovo,ThinkPad X1,2 in 1 Convertible,14,IPS Panel Touchscreen 2560x1440,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.42kg,2330
806,Dell,Latitude 3580,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.95kg,810
807,Lenovo,Yoga 910-13IKB,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.38kg,1349
810,Asus,Pro P2540UA-XS51,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.37kg,1099
811,Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.29kg,1499
814,HP,EliteBook 820,Netbook,12.5,1366x768,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.26kg,1389
821,Samsung,Notebook 9,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,0.81kg,1499
824,Lenovo,Thinkpad T470s,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.32kg,1859
825,Razer,Blade Stealth,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7500U 2.5GHz,16GB,512GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.29kg,1799
830,Toshiba,Tecra X40-D-10Z,Ultrabook,14,1366x768,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.25kg,1090
831,Lenovo,Thinkpad X1,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.13kg,2499
833,Lenovo,ThinkPad X1,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB Flash Storage,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.13kg,1875
835,Asus,ZenBook Flip,2 in 1 Convertible,13.3,Touchscreen / Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.1kg,1358
838,Acer,Swift 3,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,128GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.5kg,619
843,Lenovo,ThinkPad T470s,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.32kg,1650
846,Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.0kg,669
848,Asus,R558UA-DM966T (i5-7200U/8GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.3kg,590
853,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.18kg,713.99
858,HP,EliteBook x360,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.28kg,2277
866,Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.9kg,945
868,HP,EliteBook x360,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7600U 2.8GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.28kg,2559
871,Lenovo,ThinkPad E570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.3kg,850.66
873,Toshiba,Portege X30-D-10X,Notebook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.05kg,1285
878,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.37kg,1950
879,Acer,TMX349-G2-M-50FS (i5-7200U/8GB/256GB/FHD/W10),Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.56kg,902
881,Lenovo,ThinkPad L570,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.38kg,1055
883,Toshiba,Tecra A50-D-11D,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.0kg,1388
884,Lenovo,Thinkpad 13,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,180GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.44kg,735
886,Dell,Latitude 7280,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.6kg,1690
890,HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.04kg,839
891,HP,EliteBook x360,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.28kg,1700
892,HP,Pavilion x360,2 in 1 Convertible,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.3kg,684.8
896,HP,EliteBook x360,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.28kg,1799
901,HP,Probook 640,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.95kg,1265
902,HP,Envy x360,2 in 1 Convertible,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.42kg,1399
903,Samsung,Notebook 9,Ultrabook,15,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.17kg,1699
904,Lenovo,ThinkPad T470s,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.32kg,1799
906,Toshiba,Portege X30-D-10V,Notebook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.05kg,1475
911,Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,500GB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.9kg,935
915,Lenovo,ThinkPad X1,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB Flash Storage,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.13kg,2049
916,Lenovo,ThinkPad T570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,512GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.95kg,1962.99
917,LG,Gram 15Z970,Ultrabook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.08kg,2099
918,HP,Elitebook 820,Netbook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.26kg,1483
922,LG,Gram 14Z970,Ultrabook,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,0.98kg,1899
927,Acer,Aspire E5-575,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.4kg,499
928,Lenovo,ThinkPad 13,Notebook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.44kg,881
930,HP,Probook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.49kg,960
936,HP,Envy 13-AB077cl,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.39kg,1149
938,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,512GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.37kg,1825
940,Lenovo,Thinkpad X270,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.36kg,1650
942,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.18kg,708.06
952,Dell,Latitude 7480,Ultrabook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.36kg,1639
956,Acer,TravelMate P259-G2,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.23kg,619
965,Dell,Latitude 7480,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.36kg,1775
975,Lenovo,ThinkPad X270,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.36kg,1760
977,Toshiba,Portege X20W-D-10V,Ultrabook,12.5,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.1kg,1790
980,Dell,Latitude 5580,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.9kg,825
981,HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.04kg,685
992,HP,15-bs053od (i7-7500U/6GB/1TB/W10),Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,6GB,1TB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.04kg,579
994,Dell,Inspiron 7579,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12GB,512GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.19kg,1299
1000,HP,Probook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.04kg,806
1008,Dell,Inspiron 5378,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.68kg,889
1009,Asus,ZenBook UX310UA-FB485T,Notebook,13.3,Quad HD+ 3200x1800,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.4kg,1150
1010,HP,Spectre 13-V111dx,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.11kg,1349
1013,HP,EliteBook 840,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.48kg,2089
1015,HP,ENVY -,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.34kg,1189
1016,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.18kg,547
1017,HP,Probook 440,Notebook,14,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.64kg,779
1020,HP,ProBook 640,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.95kg,1205
1023,HP,Probook 440,Notebook,14,1366x768,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.64kg,684
1025,HP,EliteBook 820,Ultrabook,12.5,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.26kg,1539
1026,HP,Elitebook 840,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.48kg,1590
1028,HP,Probook 430,Notebook,13.3,1366x768,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.49kg,800
1030,HP,ProBook 450,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.04kg,769.99
1036,HP,Spectre 13-V100nv,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.11kg,1149
1039,HP,Elitebook 820,Ultrabook,12.5,1366x768,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.26kg,1559
1040,HP,ProBook 650,Notebook,14,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.31kg,1189
1041,HP,ProBook 640,Notebook,14,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.95kg,1060
1042,Dell,XPS 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.29kg,1624
1044,HP,ProBook 440,Notebook,14,1366x768,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.64kg,973
1050,HP,ProBook 450,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.04kg,742
1053,HP,ProBook 440,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.64kg,1010.51
536,Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.9kg,1377
1066,Dell,Inspiron 5578,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.7GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.3kg,1094
1067,HP,ProBook 450,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.04kg,979
1068,Dell,XPS 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7500U 2.7GHz,16GB,1TB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.2kg,2254
1070,HP,250 G5,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,No OS,1.96kg,499
1072,Dell,Inspiron 7378,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.6kg,1299
1074,HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.04kg,1070
1080,Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.29kg,1458
1088,HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.49kg,1090
1098,HP,Spectre x360,Ultrabook,13.3,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.3kg,2049
1099,Dell,Vostro 3568,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.18kg,750
923,Dell,Latitude 5480,Notebook,14,Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.6kg,1205
1133,Toshiba,Portege X30-D-10K,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.05kg,2226
1139,Asus,VivoBook Max,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2kg,435
1145,HP,15-bs078cl (i7-7500U/8GB/2TB/W10),Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,8GB,2TB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.04kg,629
1148,HP,250 G6,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.84kg,752
1184,Lenovo,ThinkPad T570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.95kg,1390
1193,Asus,UX410UA-GV097T (i3-7100U/4GB/256GB/FHD/W10),Notebook,14,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2kg,769
1204,Dell,Inspiron 5578,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.09kg,1179
1210,HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.86kg,485
1212,Dell,Inspiron 7378,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.6kg,1199
1221,Dell,XPS 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.2kg,2680
1224,HP,15-bs025nv (i5-7200U/8GB/256GB/W10),Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.91kg,579
1231,Dell,Inspiron 7579,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.191kg,999
1235,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,No OS,2.8kg,539
1242,Dell,Inspiron 5578,2 in 1 Convertible,15,Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.08kg,509
1244,Dell,XPS 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.29kg,1477
1250,Dell,Inspiron 3567,Notebook,15.6,Touchscreen 1366x768,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.3kg,469.01
1257,Lenovo,ThinkPad 13,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.4kg,1499
1264,Dell,Latitude 5480,Notebook,14,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,1.6kg,875
1266,Lenovo,V510-15IKB (i5-7200U/8GB/256GB/FHD/No,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 750  DirectX 12.00,No OS,2.3kg,573
1280,Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,6GB,1TB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.3kg,459
1294,Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,6GB,1TB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.3kg,459
1308,Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,6GB,1TB HDD,NVIDIA GeForce GTX 750  DirectX 12.00,Windows 10,2.3kg,459
1003,Dell,Latitude 5480,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,NVIDIA GeForce GTX 750 Ti  DirectX 12.00,Windows 10,1.6kg,1119
291,Lenovo,Thinkpad T570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,NVIDIA GeForce GTX 760  DirectX 12.00,Windows 10,1.95kg,1097
